link,name,number,organization,price,status
//ke.qq.com/course/426924,2020高考学渣拯救计划,728,闪电课堂,0,共4节
//ke.qq.com/course/474249,ProE /Creo工业产品设计结构辅助设计入门到精通课,11,卓尔谟教育,3600,共32节
//ke.qq.com/course/459810,深入讲解spring aop原理、源码分析【鲁班学院】,134,鲁班学院,0,共3节
//ke.qq.com/course/435426,【坤哥物理】粒子运动专题试听课 你没听过的旋轮线 高手进,310,蜜蜂优课,0,共1节
//ke.qq.com/course/434272,20年省考-行测精讲课,296,抵岸教育,980,随到随学
//ke.qq.com/course/435352,【坤哥物理】新高一高手必听课 微元法初步 详情咨询微信,222,蜜蜂优课,0,共1节
//ke.qq.com/course/416017,Proe/Creo产品设计-结构设计（造型/工艺/开模图/工程图/仿真）,180,云艺帆教育,0,共21节
//ke.qq.com/course/462914,Jmeter高级性能测试项目实战(赠送Loadrunner视频）,91,松勤软件测试,3980,随到随学
//ke.qq.com/course/219438,Proe-Creo产品设计/结构设计【建模曲面结构零基础到精通】,235,云艺帆教育,0,共19节
//ke.qq.com/course/389268,初二物理下册经典题详解,533,晓窗教育,0,共51节
//ke.qq.com/course/442225,《高级女装制版全套深造技术》第一期直播回放视频【艺服教育】,433,艺服教育,5695,随到随学
//ke.qq.com/course/112996,服装打版服装纸样服装制版教程-直播【山本教育】,530,山本教育,0,共8节
//ke.qq.com/course/883,Solidworks/CAD机械设计SW钣金焊件非标自动化工程图装配动画仿真,350,云艺帆教育,0,共12节
//ke.qq.com/course/453757,2020上半年自考英语二直通车VIP课程(00015)【直播+录播】晨夕,287,晨夕学院,630,共51节
//ke.qq.com/course/445618,【高考数学、高中数学】三角函数,328,闪电课堂,0,共1节
//ke.qq.com/course/375599,Java零基础入门到精通--上[历史 运算符 语法结构 数组 面向对象],2495,渡一教育,0,共16节
//ke.qq.com/course/package/3905,色彩美学班VIP课程包,341,欧艾教育,398,课程2
//ke.qq.com/course/451126,C/C++ 零基到大神精讲(C++17最新标准/游戏编程/项目实战),1743,易道云学院,0,共16节
//ke.qq.com/course/452541,SpringIOC底层源码解析【鲁班学院】,302,鲁班学院,0,共7节
//ke.qq.com/course/360025#term_id=100427899,【NEXT学院】人人都会微信小程序,12,腾讯课堂NEXT学院,4,共6节
//ke.qq.com/course/355420#term_id=100427899,教你玩社群淘客+淘宝客+淘宝联盟+内部优惠券,4807,微客教育,0,共2节
//ke.qq.com/course/457472#term_id=100427899,2020高考数学高中数学【最狂圆锥大题】,322,上课铃教育,0,共3节
//ke.qq.com/course/426495#term_id=100427899,Java高级架构师进阶课程【六星教育】,32,六星教育,7880,开设2个班级
//ke.qq.com/course/480689#term_id=100427899,【坤哥物理】2020最新考纲解读,720,蜜蜂优课,0,共1节
//ke.qq.com/course/293667#term_id=100427899,启程造价直播室6-广联达BIM预算案例实操【启程学院】,107,启程学院,0,共46节
//ke.qq.com/course/300129#term_id=100427899,软件测试从小白到高手全程班【柠檬班】第67期,362,柠檬班,7680,随到随学
//ke.qq.com/course/369263#term_id=100427899,【毕老师·消防全攻略】2020消防工程师备考公开课,377,毕老师·消防全攻略,0,共52节
//ke.qq.com/course/328564#term_id=100427899,国货新主场跨境电商虾皮Shopee爆款实操课程【优梯跨境】,541,优梯跨境学院,0,进度：12/12节
//ke.qq.com/course/384983#term_id=100427899,VIP 2020淘宝运营爆款课程 【优梯教育】,7773,优梯教育,5980,进度：5/5节
//ke.qq.com/course/232869#term_id=100427899,室内设计师必备技能【施工图/建材施工/方案预算/谈单沟通】,189,仁厚教育,0,共10节
//ke.qq.com/course/369487#term_id=100427899,2020软考--网络工程师-免费视频课程,212,小任老师,0,共15节
//ke.qq.com/course/377929#term_id=100427899,Linux云计算架构班【包含集群+Jenkins+K8S+OpenStack+Python】,96,新盟教育,9280,2020-4-1开讲
//ke.qq.com/course/438132#term_id=100427899,零基础学习PS板绘插画、UI设计,852,米你课堂,0,进度：1/1节
//ke.qq.com/course/452038#term_id=100427899,web前端开发之React.js入门到进阶【金渡教育】,45,金渡教育,0,共2节
//ke.qq.com/course/461651#term_id=100427899,申论大作文寒假批改班,11,晴教育,3980,进度：4/9节
//ke.qq.com/course/474205#term_id=100427899,粤语公开课,254,说文大学堂（川流不息）,0,共21节
//ke.qq.com/course/369468#term_id=100427899,2020软考-信息系统项目管理师-免费视频课,217,小任老师,0,共10节
//ke.qq.com/course/186179#term_id=100427899,淘宝VIP爆款运营实操系列课程【优梯教育】,2,优梯教育,4980,进度：5/5节
//ke.qq.com/course/7034#term_id=100427899,C#/.NET大数据高并发架构设计/.NET构架师【软谋教育】,223,软谋教育,0,共11节
//ke.qq.com/course/447040#term_id=100427899,【直播】Shopee虾皮零基础，也能快速爆单【齐论】,1846,齐论跨境学院,0,共3节
//ke.qq.com/course/394796,2020成人学位英语VIP课程 晨夕-自考、网教、成教,345,晨夕学院,680,共28节
//ke.qq.com/course/376811,【高一数学必修一】数学顶级名师带你搞定高一数学,1038,闪电课堂,0,共6节
//ke.qq.com/course/308517,乘风语文2020高考极速提分攻略,4128,晨露课堂,0,共22节
//ke.qq.com/course/185589,智源教育SVIP专享-电商美工实战特训【飞速跨越孵化班】,6846,智源教育学院,2680,共14节
//ke.qq.com/course/253209,纯粹罗肖雯软装设计系统|室内设计师必学的配饰陈设|,472,纯粹教育设计网校,0,共39节
//ke.qq.com/course/231577,Web前端开发之JavaScript(Js)精英课堂,3555,渡一教育,0,共42节
//ke.qq.com/course/461836,武百分2020执业/助理医师资格考试泌尿系统考点精讲,1621,武百分教育,69,共11节
//ke.qq.com/course/353889,C语言/C++语言/数据结构算法/MFC/QT【六星教育】,980,杰越学院,0,共19节
//ke.qq.com/course/453197,C#/.Net/架构师/分布式/跨平台/微服务/系统架构/底层原理/框架,1192,朝夕教育,0,共74节
//ke.qq.com/course/472909,无货源电商VIP课程,5,大娃火焱社,3980,进度：14/14节
//ke.qq.com/course/427265,【坤哥物理】2020高考一轮试听课-磁场概念公式、定理及口诀结论,1360,蜜蜂优课,0,共1节
//ke.qq.com/course/393884,2020年3月未来教育二级C语言全程班免费课,468,未来教育,0,共11节
//ke.qq.com/course/package/20967,2020年二级建造师二建施工管理超值大礼包,77,教授伴学,66,课程3
