name,institution,price($),Number of people purchased
跟着王进老师学Python：初识Python,联科教育,19.00,5
Python全栈开发职业培训（第五阶段）,优效学院,2298.00,0
Python全栈开发职业培训（第十一阶段）,优效学院,2298.00,0
跟着王进老师学开发Python篇第五季：面向对象高级篇,联科教育,199.00,4
Python全栈开发职业培训（第七阶段）,优效学院,2298.00,0
极客营-Python核心基础-网络编程,极客教育,20.00,5
Python从小白到大牛：项目实战5：迷失航线游戏开发,智捷课堂,258.00,3
跟着王进老师学开发Python篇第四季：面向对象基础篇,联科教育,199.00,6
Python从小白到大牛：第三篇【Python】高级实用库与框架,智捷课堂,198.00,8
撩课-Python-爬虫系列-网络剖析,撩课教育,78.00,2
Python从小白到大牛：项目实战3：开发PetStore宠物商店项目,智捷课堂,159.00,3
跟着王进老师学开发之Python篇第二季：基础强化篇,联科教育,99.00,7
Python从小白到大牛：第二篇【Python】进阶,智捷课堂,99.00,12
12天Python基础精讲班,洋葱头,119.00,0
Python3.x全新大型项目从入门到实战第2季,北京思无限科技有限责任公司,30.00,10
Python入门/人工智能概述  Python开发 python实战（录播收费课）,优逸客IT学院,49.00,57
Python3.x全新大型项目从入门到实战第3季,北京思无限科技有限责任公司,30.00,10
Python3.x全新大型项目从入门到实战第1季,北京思无限科技有限责任公司,30.00,10
Python3.x全新大型项目从入门到实战第4季,北京思无限科技有限责任公司,30.00,10
Python3.x全新大型项目从入门到实战第5季,北京思无限科技有限责任公司,30.00,10
Python3.x全新大型项目从入门到实战第7季,北京思无限科技有限责任公司,30.00,10
Python3.x全新大型项目从入门到实战第8季,北京思无限科技有限责任公司,30.00,10
Python3.x全新大型项目从入门到实战第9季,北京思无限科技有限责任公司,30.00,10
Python3.x全新大型项目从入门到实战第10季,北京思无限科技有限责任公司,30.00,10
Python3.x全新大型项目从入门到实战第11季,北京思无限科技有限责任公司,30.00,10
Python3.x全新大型项目从入门到实战第12季,北京思无限科技有限责任公司,30.00,10
Python3.x全新大型项目从入门到实战第13季,北京思无限科技有限责任公司,30.00,10
Python网页+web前端实战开发,誉天教育,1898.00,5
Python3.x全新大型项目从入门到实战第14季,北京思无限科技有限责任公司,30.00,10
机器学习—数据预备清洗与特征工程：实战豆瓣电影分析,北京盛久盈天科技有限公司,499.00,2
Python3.x全新大型项目从入门到实战第16季,北京思无限科技有限责任公司,30.00,10
Python中级开发工程师加薪必备技能,誉天教育,2088.00,5
Python3.x全新大型项目从入门到实战第15季,北京思无限科技有限责任公司,30.00,10
Python编程精粹——Python面向对象编程,博为峰网校在线教育,316.00,2
Python3.x全新大型项目从入门到实战第17季,北京思无限科技有限责任公司,30.00,10
3天搞定机器学习深度学习基础-Python入门视频课程,覃秉丰,48.00,38
2019年教你编写人工智能数据分析案例​（Python）,北京思无限科技有限责任公司,198.00,11
1天搞定Python进阶课程-科学计算库Numpy,覃秉丰,48.00,22
Q1数字货币Python量化,小童Tobin,2049.00,0
crm开发-stark组件,路飞学城,39.00,0
青少年Python编程基础课,上海谦与谦信息技术有限公司,98.00,3
CRM开发之curd组件和权限系统,路飞学城,39.00,0
5天精通Python面向对象编程,Stone,99.00,0
Linux+Shell,智锋互联,199.00,0
Python零基础快速入门（料视出品）,料视教育,398.00,0
python机器学习与数据挖掘,智锋互联,599.00,0
学神IT-Python精品课,学神IT教育,0.10,160
