name,institution,price($),Number of people purchased
Python入门系列教程2-python基础,博学谷,1.00,26
Python教程/Python基础/Python入门/Python数据库-Redis基础入门,源码时代,1.00,145
Python机器学习体验课【灵犀教育】,灵犀教育,,42
Python400元预定,逻辑教育,400.00,137
Python Web开发动手练习项目V2.0 学生管理系统,联科教育,9.90,2
爬虫数据分析,逻辑教育,2880.00,26
Python Web开发动手练习项目V1.0 学生管理系统,联科教育,9.90,4
【松松课堂】Python高级编程,骏茂教育,6.00,5
【进阶】揭秘全套R语言与GGPLOT可视化精髓 玩转可视化数据分析,职坐标,5000.00,0
【松松课堂】Python编程基础,骏茂教育,6.00,14
40天完成商业级Storm分布式流式计算框架Spark开源集群计算系统,职坐标,5000.00,1
【松松课堂】Python编程-宇宙激战,骏茂教育,6.00,1
"MT4,MT5,Python智能交易编程赵老师探索答疑",智德金智能交易学院,1.00,111
【入门】从入门到实践搞定Python语法的学习，制作自己的聊天工具,职坐标,5000.00,2
"【新手】新手从入门到实践一步搞定,快速上手python web开发工作",职坐标,5000.00,0
Python基础编程实战VIP班,灵犀教育,,115
Python全栈工程师+AI,誉天教育,7999.00,2
【资深】2个月掌握django精髓，玩转python web开发,职坐标,5000.00,0
Python语言框架,云知梦,93.00,0
Windows下双版本Python环境安装,路飞学城,0.10,93
"【资深】2个月掌握urllib,requests等技术精髓,爬取想要的东西",职坐标,5000.00,0
github入门与开发,路飞学城,1.00,48
人工智能之高等数学基础-AI入门课程,万和IT教育,9.90,12
PYTHON-mysql数据库（五）,路飞学城,1.00,6
业界一致好评的Python入门教程（上）,北京思无限科技有限责任公司,30.00,53
PYTHON-mysql数据库（三）,路飞学城,1.00,10
Python爬虫项目入门VIP体验班【六星教育】,六星云课堂,99.00,487
零基础学Python（上）,新梦想软件测试培训基地,9.90,48
PYTHON-mysql数据库（二）,路飞学城,1.00,10
Django零基础入门到项目实战,青灯教育,518.00,39
PYTHON并发编程（三）,路飞学城,1.00,6
Flask Python Web 网站后台开发,优特学院,1980.00,2
PYTHON并发编程（二）,路飞学城,1.00,14
大数据分析高级课程,北京盛久盈天科技有限公司,1980.00,0
PYTHON并发编程（一）,路飞学城,1.00,10
LeetCode 百题斩(13~16),解惑者学院,0.02,48
基础+模块+面向对象+网络编程 九,路飞学城,1.00,3
Python3 零基础到实战开发 工具篇,EASON,1.00,64
MySQL Python 数据库管理,优特学院,388.00,5
基础+模块+面向对象+网络编程（一）,路飞学城,1.00,2
零基础学Python（中）,新梦想软件测试培训基地,9.90,35
Python小白到大牛全集,智捷课堂,829.00,0
Python 精萃 -- 高级篇,尚波,5.99,40
零基础学Python（下）,新梦想软件测试培训基地,9.90,25
测试测试草草收场上传上传,机构测试号-课堂教研,1999.00,0
做项目学习Django2.0开发,广州可锐尤软件科技有限责任公司,1.00,74
基础+模块+面向对象+网络编程 三,路飞学城,1.00,2
Python入门到爬虫进阶,日月光华,198.00,2
详解Django入门到实战,路飞学城,129.00,6
Python Selenium 3 Web 自动化测试开发实践,优特学院,1298.00,26
量化投资-单因子分析精讲,聚宽量化课堂,388.00,405
Python零基础轻松进入网络爬虫,东方琦智,5.20,10
Python高级开发,青灯教育,1499.00,143
【全民编程】Python全栈课程之Python基础入门,夏正东,9.00,29
撩课-Python-GUI编程-PyQt5,撩课教育,198.00,25
Python 精萃 -- 中级篇,尚波,5.99,11
Python核心提升-内核修炼，能力提升,缔凡教育,,51
Python小游戏－猜姓名,方林,3.00,12
Python爬虫|13天搞定Python分布爬虫【尚学堂】,尚学高科,30.00,46
python程序设计：第1章 绪论 1.2计算机的思维与编程,青少年趣味编程课堂,1.00,26
Python3.x大型项目,北京思无限科技有限责任公司,398.00,0
Python3从入门到核心编程系列课程,陈华编程学院,9.90,1
Python Tkinter界面应用开发,黄棒清,9.90,36
